Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WA,2019,12,Female,17,Right-Handed,167,22,64,1,Car,15,4.66,54,Dancing,987,202,975,765,369,952,22,Same length,680,690,Ring finger,March,Fall,No,No,Desserts,Juice,Art,7,10,3,Yes - broadband connection,Cell phone,3,5,16,9,6,2,8,0,20,14,18,10,9,3,A lot,Undergraduate degree,Country,Telepathy,Happy,Actor,Health
USA,CA,2019,11,Female,16,Right-Handed,5'0,19.05,160,2,Bus,105,0.406,40,Baseball/Softball,100,100,100,100,100,100,19.03,Right foot,,,Index finger,September,Winter,Yes,No,No favorite,Tea,Physical education,7,7,5,Yes - other,Cell phone,250,250,10,2,20,20,28,2,27,30,30,2,0,17,Some,Other,Rap/Hip hop,Super strength,Happy,Business person,Wildlife animals
USA,PA,2019,6,Female,11,Right-Handed,157,33,157,1,Bus,4,0.458,83,Hockey (Field),1000,950,930,900,20,35,33,Same length,90,94,Ring finger,April,Summer,No,No,Fruit,Water,Art,7,10,8,Yes - other,Internet chat or instant messaging,50,50,24,3,5,10,12,1,5,73,4,7,0,12,Some,Graduate degree,Pop,Telepathy,Happy,Sports person,Wildlife animals
USA,PA,2019,12,Male,17,Right-Handed,175,25,182.5,2,Bus,30,.69,57,Soccer,900,900,400,700,100,200,25,Same length,95,110,Ring finger,June,Fall,Yes,No,No favorite,Milk,Physical education,6,8,3,Yes - other,Myspace Facebook other social networking sites or blog,25,30,1,.5,5,4,28,1,4,1,2,.5,40,.5,A lot,Other,Reggae,Freeze time,Rich,Actor,Wildlife animals
USA,AZ,2019,4,Female,10,Ambidextrous,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2019,11,Female,17,Right-Handed,5’4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2019,5,Male,10,Right-Handed,120,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2019,10,Female,15,Right-Handed,160cm,25cm,155cm,2,Car,15,0.464,48,Other,900,900,1000,900,800,800,25cm,Same length,75,70,Index finger,March,Fall,No,No,Meat,Water,Art,8,10,6,Yes - broadband connection,In person,20,20,40,1,5,30,3,0,30,20,30,10,0,3,Some,Graduate degree,Other,Freeze time,Happy,Relative,Environment
USA,IL,2019,12,Female,17,Right-Handed,169,24,169,1,Car,12,0.351,44,Dancing,1000,1000,1000,1000,500,500,24,Same length,110,80,Index finger,June,Summer,No,No,Seafood,Tea,English,6,9,3,Yes - broadband connection,In person,25,35,40,,,,,,,,,,,,,,,,,,
USA,NC,2019,12,Female,16,Right-Handed,163,26,155,3,Bus,20,0.929,39,Dancing,1000,1000,1000,800,500,700,26,Same length,75,75,Same length,September,Fall,No,Yes,Rice/Noodle dishes,Water,Languages,5,9,4,Yes - broadband connection,Internet chat or instant messaging,250,250,5,7,36,3,4,0,13,2,50,14,0,4,A lot,Graduate degree,Pop,Invisibility,Happy,Other,International aid
USA,WI,2019,12,Male,17,Right-Handed,183,30,193,2,Car,24,.383,30,Other,400,300,200,500,500,700,29,Right foot,103,106,Ring finger,July,Summer,No,No,Meat,Water,Computers and technology,7,5,4,Yes - broadband connection,Text messaging,150,200,12,1,6,15,6,20,10,17,50,4,5,2,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Relative,Health
USA,TX,2019,12,Female,20,Right-Handed,5'4,26.3,5'4,2,Bus,30,61,51,Running/Jogging,3,2,4,1,6,5,26.1,Right foot,2.9,3.1,Ring finger,November,Fall,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,5,9,3,Yes - other,Cell phone,100,250,5,1,30,30,0,0,2,2,20,0,45,5,A lot,Undergraduate degree,,Super strength,Happy,Relative,Education/Youth development
USA,CA,2019,12,Male,16,Right-Handed,176,26.5,172,1,Bus,15,0.378,40,Soccer,1000,503,1000,1000,257,1000,27,Left foot,7.5,8,Ring finger,November,Spring,No,No,Meat,Water,Physical education,6,10,4,Yes - broadband connection,Myspace Facebook other social networking sites or blog,42,59,84,100,5,60,50,14,84,150,84,84,0,5,None,Graduate degree,Rap/Hip hop,Telepathy,Happy,Sports person,Wildlife animals
USA,MO,2019,12,Female,17,Right-Handed,160,23,160,1,Walk,3,.452,29,Soccer,818,814,824,796,904,818,23,Same length,66,69,Ring finger,November,Summer,No,No,Pizza/Pasta,Water,Physical education,6.5,8,2,Yes - other,In person,75,90,8,2,8,1,10,0,10,3,20,5,0,0,A lot,Graduate degree,Rhythm and blues (R&B),Telepathy,Happy,Relative,Wildlife animals
USA,TN,2019,11,Female,18,Right-Handed,159,158,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,PA,2019,12,Male,17,Right-Handed,175,28,169,1,Car,5,0.375,50,Other,1000,1000,1000,700,800,1000,27,Right foot,80,90,Ring finger,October,Summer,Yes,No,Seafood,Water,Mathematics and statistics,6,11,6,Yes - broadband connection,Cell phone,467,795,2,0,30,10,0,0,30,10,30,0,0,3,A lot,Undergraduate degree,Pop,Telepathy,Rich,Musician or singer,Health
USA,IL,2019,6,Female,12,Right-Handed,156,27,157,2,Car,5,0.442,59,Skateboarding/Rollerblading,813,620,695,888,225,380,23,Right foot,85,80,Ring finger,September,Summer,No,No,No favorite,Water,Art,6,9,4,Yes - broadband connection,In person,15,10,28,1,8,7,9,2,2,3,6,4,0,1,A lot,Graduate degree,Pop,Freeze time,Healthy,Musician or singer,International aid
USA,NY,2019,10,Female,16,Right-Handed,170,23,164,2,Rail (Train/Tram/Subway),120,0.781,44,Other,300,300,1000,1000,500,1000,23,Same length,65,70,Ring finger,March,Fall,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,9,4,Yes - dial-up connection,Internet chat or instant messaging,10,200,10,1,14,7,0,0,28,1,28,7,0,12,Very little,Graduate degree,Classical,Freeze time,Rich,Relative,Education/Youth development
USA,OH,2019,12,Male,17,Right-Handed,165,,,1,Car,9,,,Running/Jogging,,,,,,,,,,,Ring finger,February,Summer,No,No,No favorite,Milk,Physical education,6,7,3,Yes - other,Myspace Facebook other social networking sites or blog,30,30,30,8,5,0,5,5,10,10,10,2,35,3,Some,Some college,Rap/Hip hop,Fly,Famous,Doctor or nurse,Wildlife animals
USA,IN,2019,11,Male,17,Right-Handed,17,23,159,1,Bus,5,.571,45,Baseball/Softball,743,487,497,1000,0,1000,23,Right foot,90,80,Index finger,May,Summer,Yes,No,Pizza/Pasta,Soft drink (caffeinated),Other,8,6,5,Yes - broadband connection,In person,0,1,12,1,2,6,10,24,1,1,24,1,0,2,Some,Some college,Rap/Hip hop,Fly,Rich,Coach or club leader,Health
USA,TN,2019,12,Female,17,Right-Handed,65,22.5,200,1,Car,10,.756,67,Gymnastics,600,450,1000,900,400,400,23,Left foot,,,Index finger,September,Summer,Yes,No,No favorite,Water,English,6,8,3,Yes - other,Text messaging,50,50,,,,,,,,,,0,20,1,,,,,,,
USA,OH,2019,12,Male,18,Right-Handed,"5'11""","11""",6,1,Car,45,.3,39,Other,750,750,500,300,100,150,,Right foot,,,,,Spring,Yes,No,Meat,Water,Science,7,12,4,Yes - broadband connection,Text messaging,5,3,20,1,0,4,25,1,0,1,5,0,20,2,,High school,Rock and roll,Fly,Happy,Sports person,Environment
USA,OH,2019,7,Female,12,Right-Handed,160,25,144,1,Bus,20,0.392,38,Soccer,551,561,561,541,121,101,24,Right foot,80,85,Ring finger,August,Fall,Yes,No,Fruit,Water,Physical education,8,10,4,Yes - other,In person,35,30,20,1,3,10,4,6,2,1,4,9,0,4,Some,Graduate degree,Pop,Telepathy,Healthy,Relative,Wildlife animals
USA,NY,2019,12,Female,21,Left-Handed,152,24,156,1,Car,18,.365,36,Baseball/Softball,1000,1000,500,500,200,500,2.35,Same length,7,7.4,Ring finger,December,Spring,No,No,No favorite,Water,Art,7,7,6,Yes - other,Text messaging,30,30,6,.5,4,7,17,7,14,1,7,3,15,2,Very little,Undergraduate degree,Pop,Fly,Rich,Relative,Wildlife animals
USA,OH,2019,7,Male,13,Right-Handed,155.4,20.32,167,2,Bus,10,0.355,63,Basketball,800,600,900,600,200,950,20.32,Same length,8,7,Ring finger,November,Winter,No,No,Meat,Juice,Physical education,8,9,5,Yes - other,In person,5,6,28,0,1,3,2,6,2,0,9,0,0,1,Very little,Graduate degree,Rap/Hip hop,Freeze time,Rich,Relative,Health
USA,MA,2019,12,Male,18,Right-Handed,172,30,174,1,Car,3 min,.358,54,Martial Arts,1000,1000,1000,1000,442,208,30,Same length,90,100,Same length,June,Summer,Yes,No,Meat,Water,Physical education,6-8,6-8,6,Yes - other,Text messaging,5,7,1,0,0,24,24,0,4,2,5,10,30,7,Some,Graduate degree,Classical,Freeze time,Rich,Relative,International aid
USA,OH,2019,12,Male,18,Right-Handed,170,25,175,1,Car,15,.478,40,Basketball,100,200,100,100,900,1000,24,Right foot,72,77,Ring finger,December,Fall,No,No,Meat,Soft drink (caffeinated),Mathematics and statistics,6,9,3,Yes - broadband connection,Internet chat or instant messaging,578,560,2,100,0,3,1,40,10,50,80,1,20,1,Some,Some college,Rap/Hip hop,Freeze time,Happy,Sports person,Education/Youth development
USA,IN,2019,11,Male,18,Right-Handed,175,28,181,1,Bus,30,.778,38,None,,,,,,,24,Right foot,155,225,Ring finger,March,Spring,No,No,Seafood,Water,Other,5,7,3,Yes - other,Internet chat or instant messaging,36,34,5,0,1,4,0,78,5,4,60,1,30,2,Some,High school,Other,Super strength,Happy,Other,Health
USA,CO,2019,7,Male,13,Right-Handed,,,,1,Walk,11,0.884,67,Football (American),420,800,600,300,0,900,,,,,,December,Fall,Yes,No,Fruit,Water,Geography,10,4,5,Yes - other,Text messaging,20,,,,,,,,,,,,,,,,,,,,
USA,CA,2019,7,Female,13,Right-Handed,154,,154,1,Car,7,0.375,56,Tennis,1000,500,1000,600,1000,1000,22,Left foot,6000,7000,Ring finger,October,Summer,No,No,No favorite,Water,Computers and technology,7,8,4,Yes - other,Text messaging,10,20,1,,,,,,,,,,,,,,,,,,
USA,MD,2019,12,Male,17,Right-Handed,175,30,180.5,2,Car,10,0.31,36,Other,1000,550,800,825,950,1000,,,70,55,Ring finger,November,Fall,Yes,No,Meat,Water,Science,6,7,5,Yes - broadband connection,Text messaging,5,10,3,2,7,4,5,1,3,1,6,0,5,5,Some,Graduate degree,Rhythm and blues (R&B),Fly,Rich,Doctor or nurse,International aid
USA,IN,2019,12,Male,18,Right-Handed,183,28.6,180,1,Car,13,.685,37,Running/Jogging,900,900,750,800,200,600,28.6,Same length,94,105,Ring finger,July,Fall,No,No,Breads/Sandwiches,Soft drink (caffeinated),Music,7,6,2,Yes - broadband connection,Text messaging,400,400,4,2,5,3,20,2,6,8,12,2,12,2,Some,Graduate degree,Other,Fly,Happy,Relative,Arts culture sports
USA,TX,2019,12,Female,19,Left-Handed,152.4,20.32,60.96,1,Walk,15,.8,1,Walking/Hiking,1000,1000,1000,1000,0,500,20.32,Same length,68.58,69,Index finger,June,Fall,Yes,,Meat,Water,History,8,10,4,Yes - broadband connection,Cell phone,20,60,8,4,5,2,1,1,1,2,3,2,0,2,Some,Graduate degree,Other,Telepathy,Happy,Relative,Environment
USA,VT,2019,10,Male,15,Right-Handed,176,24,171,1,Bus,15,.665,49,Athletics,800,600,1000,1000,300,500,24,Same length,9.5,11,Ring finger,June,Winter,No,No,Poultry,Water,Computers and technology,7,9,4,Yes - other,Internet chat or instant messaging,9,100,1,2,3,0,5,7,7,3,5,0,0,0,Very little,Graduate degree,Pop,Super strength,Healthy,Friend,Health
USA,MI,2019,9,Female,14,Right-Handed,5’3,28,153,3,Car,30,0.7,52,Baseball/Softball,900,900,1000,900,500,900,28,Same length,6,7,Ring finger,March,Summer,Yes,No,Rice/Noodle dishes,Water,History,7,10,5,Yes - other,Myspace Facebook other social networking sites or blog,20,30,5,2,10,15,5,1,15,3,10,3,0,3,,,Pop,Invisibility,Happy,Actor,Education/Youth development
USA,MD,2019,10,Female,17,Right-Handed,162,27,,1,Bus,42,0.703,44,Swimming,898,583,717,845,513,551,26,Right foot,99,94,Index finger,January,Winter,Yes,No,Pizza/Pasta,Water,Art,7,7,4,Yes - other,Text messaging,50,30,7,8,3,3,0,1,4,8,8,7,4,2,Some,Other,Rap/Hip hop,Invisibility,Rich,Relative,International aid
USA,WI,2019,4,Male,10,Right-Handed,137,20,110,1,Car,20,0.468,69,,800,750,1000,750,500,650,21,Left foot,45,55,Ring finger,October,Summer,No,No,No favorite,Water,Physical education,8,10,4,Yes - broadband connection,In person,0,0,5,0,5 1/2,6,5,12,0,0,5,1,0,0,Very little,Some college,Rap/Hip hop,Fly,Healthy,Sports person,International aid
USA,KY,2019,7,Male,12,Right-Handed,15.50,1foot,15.50,2,Bus,5,.415,52,Football (American),701,465,53,663,0,1000,271/2,Same length,80,70,Index finger,July,Fall,No,No,Desserts,Sports drink,Computers and technology,5,13,7,Yes - other,Text messaging,59,47,7,2,1,0,24,8,12,24,24,0,0,0,A lot,Graduate degree,Rap/Hip hop,Invisibility,Rich,Actor,Other
USA,WA,2019,11,Male,17,Right-Handed,185,30,185,2,Car,5,.464,34,Soccer,1000,600,400,400,400,500,30,Same length,95,101,Ring finger,June,Fall,No,No,Meat,Water,History,7,9,3,Yes - broadband connection,Text messaging,50,50,30,10,5,10,5,5,10,10,20,20,20,20,Some,Undergraduate degree,Country,Freeze time,Happy,Relative,Wildlife animals
USA,PA,2019,9,Female,15,Right-Handed,152.9,17.78,150,2,Car,3 min,0.444,62sec,Soccer,508,738,1000,797,925,1000,17.78,Same length,76.2,76.2,Same length,March,Fall,Yes,No,Breads/Sandwiches,Milk,Art,8,10,4,Yes - broadband connection,Text messaging,none,300,5,3,10,10,6,0,10,3,2,7,0,1,Very little,Graduate degree,Pop,Fly,Happy,Relative,Wildlife animals
USA,PA,2019,7,Female,13,Right-Handed,157.8,23,160.2,1,Bus,35,.412,43,Dancing,786,439,594,273,27,160,23.5,Left foot,75,70,Index finger,September,Summer,No,No,Meat,Water,Mathematics and statistics,8,10,4,Yes - broadband connection,Other,150,150,40,12,2,50,20,3,7,3,1,4,0,7,A lot,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Relative,Wildlife animals
USA,OH,2019,11,Female,15,Left-Handed,164,24,166,1,Bus,20,,,Walking/Hiking,,,,,,,24,Same length,,,,October,Fall,No,No,Fruit,Water,Science,8,10,9,Yes - broadband connection,Text messaging,10,15,4,3,6,7,2,2,7,3,14,1,0,14,Some,Graduate degree,Heavy metal,Fly,Happy,Other,Environment
USA,CA,2019,12,Female,17,Right-Handed,160,24,157,2,Car,15,0.397,47,Dancing,1000,750,1000,500,1000,1000,24,Same length,76,76,Same length,November,Summer,No,Yes,Fruit,Coffee,Social studies,6,8,3,Yes - other,Cell phone,85,100,8,0,17,4,14,0,10,1,20,2,0,2,A lot,Undergraduate degree,Pop,Telepathy,Happy,Relative,Environment
USA,VA,2019,12,Male,15,Right-Handed,71,11,74,1,Car,9,0.324,41,Other,400,1000,200,200,1000,1000,11,Same length,4.5,4.6,Ring finger,September,Fall,No,No,Meat,Sports drink,Mathematics and statistics,8,10,3,Yes - other,Myspace Facebook other social networking sites or blog,30,60,5,1,10,3,11,4,2,2,2,0,1,1,Some,Graduate degree,Rap/Hip hop,Super strength,Happy,Relative,Health
USA,IL,2019,10,Female,15,Right-Handed,149.9,14,63,1,Car,10,0.833,43,Dancing,1000,1000,1000,1000,0,0,13,Left foot,4,,Ring finger,November,Fall,Yes,No,Rice/Noodle dishes,Water,English,7,8,3,Yes - other,Text messaging,15,20,1,1,1,5,0,0,6,2,2,0,0,2,Some,Graduate degree,Pop,Invisibility,Happy,Relative,Health
USA,OH,2019,7,Female,13,Left-Handed,150,15,148,1,Car,5,.587,47,Tennis,950,930,895,850,90,90,15,Same length,,50,Ring finger,October,Fall,Yes,No,Fruit,Milk,Music,8,10,4,Yes - other,In person,0,0,10,3,5,10,2,1,0,3,10,15,0,3,Very little,Graduate degree,Gospel,Invisibility,Healthy,Relative,International aid
USA,AZ,2019,12,Female,17,Right-Handed,152.4,,,2,Walk,20,0.425,62,Tennis,600,500,800,800,1000,1000,,,,,,May,Winter,No,No,Pizza/Pasta,Water,Mathematics and statistics,8,9,8,Yes - other,Myspace Facebook other social networking sites or blog,3,6,0,1,0,2,2,0,4,4,4,2,0,1 1/2,Some,Graduate degree,Pop,Freeze time,Happy,Musician or singer,Health
USA,AZ,2019,4,Male,10,Ambidextrous,139,25,136,3,Bicycle,7,0.416,41,Soccer,246,364,262,444,314,37,23,Same length,6,9,Same length,February,Summer,Yes,No,Vegetables,Water,Science,8,9,13,No internet connection,Cell phone,1,7,17,3,5days,9,3days,0,1,o,2,4,6,9,Some,,Pop,Fly,Rich,Friend,Other
USA,GA,2019,9,Male,14,Right-Handed,,25,83,2,Car,7,.427,37,Basketball,1000,900,1000,250,50,1000,25,Same length,8,8,Same length,July,Fall,No,Yes,Pizza/Pasta,Sports drink,Mathematics and statistics,5,5,5,Yes - broadband connection,Text messaging,100,192,40,70,5,5,14,.5,75,80,0,7,6,0,Very little,Graduate degree,Rap/Hip hop,Invisibility,Rich,Friend,Wildlife animals
USA,CT,2019,12,Male,16,Right-Handed,170,26,168,1,Car,13,0.367,55,Swimming,600,800,350,800,500,700,26,Same length,100,80,Index finger,July,Summer,Yes,No,Meat,Water,Physical education,8,10,4,Yes - broadband connection,Text messaging,3,2,3,.5,3,2,8.5,15,1,1,3,0,0,0,Some,Graduate degree,Rap/Hip hop,Super strength,Happy,Sports person,Environment
USA,MA,2019,12,Female,17,Right-Handed,5'5.5,24.13,157.5,2,Car,15,0.554,53,Soccer,1000,1000,1000,1000,500,500,24.13,Same length,78mm,80 mm,Ring finger,April,Fall,,,Meat,Water,Science,8,12,3,Yes - broadband connection,Text messaging,80,120,10,3,4,20,10,10,15,20,6,4,40,5,Some,Graduate degree,Rap/Hip hop,Telepathy,,Doctor or nurse,Health
USA,OH,2019,12,Male,18,Ambidextrous,172.7,26,80,1,Car,5,0.334,55,Tennis,1000,674,1000,503,433,433,26.5,Left foot,65,66,Ring finger,September,Fall,No,No,Pizza/Pasta,Water,History,4,9,2,Yes - broadband connection,Text messaging,16,14,20,1,0,0,4,1,0,0,8,14,0,2,Some,Undergraduate degree,Jazz,Fly,Rich,Teacher,Health
USA,AZ,2019,4,Female,10,Right-Handed,141,25,141,2,Walk,20,0.459,58,Basketball,1000,1000,150,150,1000,1000,26,Same length,70,70,Same length,January,Summer,Yes,No,Desserts,Tea,Science,8,1,8,Yes - other,Cell phone,20,19,0,100,3,5,0,10,0,10,0,1,0,1,Some,Some college,Rap/Hip hop,Freeze time,Rich,Relative,Wildlife animals
USA,IN,2019,12,Male,17,Right-Handed,179,30.48,30.48,1,Car,8,.308,41,Football (American),850,600,400,650,900,1000,30.48,Same length,85,90,Ring finger,August,Fall,Yes,No,Meat,Water,History,7,9,6,Yes - broadband connection,Myspace Facebook other social networking sites or blog,15,35,35,2,12,15,15,5,10,2,8,5,3,8,A lot,Graduate degree,Rap/Hip hop,Fly,Happy,Sports person,International aid
USA,TX,2019,8,Male,15,Right-Handed,59cm,10cm,50,1,Bus,15,0.34,102,Football (American),1000,1000,1000,1000,1000,1000,10,Same length,10,11,Ring finger,November,Summer,No,No,Pizza/Pasta,Water,Science,11,13,5,Yes - other,Text messaging,1,0,6,3,0,24,24,24,24,4,24,24,0,24,A lot,Graduate degree,Pop,Invisibility,Rich,Sports person,Education/Youth development
USA,TX,2019,4,Male,10,Left-Handed,5ft,9,144,3,Car,20,0.5,102,Football (American),1000,1000,1000,900,1000,1000,8,Same length,4,2,Ring finger,September,Spring,Yes,No,Vegetables,Water,Computers and technology,7,4,3,Yes - broadband connection,In person,0,0,80,15,5,5,80,2,3,4,2,1/2,1,5,A lot,Some college,Rock and roll,Freeze time,Happy,Friend,Other
USA,MA,2019,10,Female,16,Right-Handed,165,26.5,74.5,1,Bus,45,0.357,50,Baseball/Softball,287,783,782,872,125,500,27.5,Left foot,155,75,Ring finger,November,Summer,No,,Desserts,Soft drink (caffeinated),Other,5,5,4,Yes - broadband connection,Cell phone,50,50,9,2,2,2,6,,,,,,,,,,,,,,
USA,OH,2019,12,Male,17,Right-Handed,14.7,27.5,14.7,1,Car,5,.369,32,Other,500,500,500,500,700,1000,27.3,Right foot,98,140,Ring finger,June,Summer,Yes,No,Meat,Soft drink (caffeinated),Music,5,8,4,Yes - broadband connection,Internet chat or instant messaging,alot,alot,10,1,0,10,5,10,0,2,10,1,0,2,Some,Some college,Techno/Electronic,Telepathy,Rich,Actor,Arts culture sports
USA,PA,2019,6,Female,11,Right-Handed,145,21,140,1,Bus,10,0.473,50,Other,100,100,100,100,0,50,22,Left foot,60,62,Ring finger,July,Fall,Yes,No,,Water,Art,8,11,5,Yes - other,In person,0,0,8,2,5,14,0,1,0,1,,7,0,0,A lot,Other,Country,,Happy,Relative,Health
USA,OH,2019,11,Male,16,Ambidextrous,5'11,10.5,195,1,Car,5-10,,,Basketball,,,,,,,10,Right foot,,,,April,Winter,Yes,No,Poultry,Other,Mathematics and statistics,5,5,7,Yes - other,Cell phone,700,793,22,48,48,22,48,3,48,168,168,72,30,30,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Other,International aid
USA,ID,2019,12,Male,23,Right-Handed,184,28,190,1,Car,10,0.527,51,Tennis,545,540,471,497,1000,1000,28,Same length,105,115,Ring finger,June,Fall,No,No,Meat,Water,Science,6,9,2,Yes - broadband connection,In person,31,37,5,.5,40,5,1,5,5,1,20,3,1.5,4,A lot,Graduate degree,Rock and roll,Freeze time,Happy,Relative,Religious
USA,NC,2019,11,Female,17,Right-Handed,162.5,24,65,2,Bus,7,.773,62,Walking/Hiking,900,800,900,900,600,600,25,Left foot,95,98,Ring finger,December,Winter,Yes,No,Desserts,Water,Art,4.5,9,3,Yes - broadband connection,Internet chat or instant messaging,10,5,0,0,12,8,0,0,8,5,10,5,0,4,A lot,Graduate degree,Rock and roll,Invisibility,Famous,Musician or singer,Arts culture sports
USA,FL,2019,12,Male,17,Right-Handed,182,25.5,177.8,2,Car,40,.719,53,Other,600,650,850,800,900,1000,25,Right foot,70,83,Ring finger,June,Summer,No,No,Meat,Water,Mathematics and statistics,7,8.5,4,Yes - broadband connection,Text messaging,57,52,5,5,10,3,3,15,3,3,2,4,0,1,A lot,Graduate degree,Techno/Electronic,Fly,Happy,Friend,Environment
USA,CA,2019,11,Male,16,Right-Handed,179,16,150,2,Car,20,.333,65,Tennis,1000,1000,1000,1000,1000,1000,16,Same length,189,189,Same length,May,Winter,Yes,No,Salads,Milk,Mathematics and statistics,5,9,3,No internet connection,Text messaging,11,7,0,0,30,7,10,5,0,0,10,0,3,0,A lot,Graduate degree,Pop,Freeze time,Rich,,
USA,ID,2019,12,Female,23,Right-Handed,172,,,1,Walk,15,.567,56,Soccer,500,700,300,700,500,1000,,,,,,September,Fall,Yes,No,Desserts,Water,Mathematics and statistics,8,7,6,Yes - broadband connection,Text messaging,6,,,,,,,,,,,,,,,,,,,,
USA,AZ,2019,12,Female,17,Right-Handed,162,21,159,1,Car,6,0.841,57,None,583,765,492,369,471,551,21,Same length,600,700,Ring finger,September,Winter,Yes,No,Fruit,Water,Music,5,7,4,Yes - other,Internet chat or instant messaging,9,17,16,3,5,28,3,14,37,12,46,1,0,5,Some,Graduate degree,Rhythm and blues (R&B),Freeze time,Famous,Musician or singer,Environment
USA,CA,2019,7,Male,12,Ambidextrous,161,24,161,2,Car,3,0.337,28,Athletics,500,500,500,500,500,500,24,Same length,71,77,Ring finger,August,Spring,No,No,Meat,Water,Mathematics and statistics,8,8,4,Yes - other,Text messaging,0,0,35,1,3,3.5,3,2,1,1,4,7,0,0,A lot,Graduate degree,Other,Freeze time,Happy,Other,Other
USA,NH,2019,12,Female,18,Right-Handed,149.8,20,153,1,Car,10,.436,44,Lacrosse,1000,1000,1000,1000,1000,1000,20,Same length,60,60,Same length,February,Summer,No,Yes,Fruit,Water,Science,7,3,5,Yes - other,Text messaging,500,500,30,0,1,4,12,0,36,36,0,6,4,2,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,Wildlife animals
USA,NY,2019,12,Male,18,Left-Handed,173,26,178,1,Rail (Train/Tram/Subway),40,0.637,71,Baseball/Softball,700,700,1000,1000,400,800,26,Same length,78,84,Ring finger,April,Fall,No,No,Meat,Water,Science,8,10,6,Yes - other,In person,50,49,12,5,8,9,12,3,8,8,9,1,2,2,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Relative,Wildlife animals
USA,PA,2019,6,Male,11,Right-Handed,156,23,154,1,Bus,15,0.479,40,Skateboarding/Rollerblading,305,278,337,529,802,257,23,Same length,7.5,7,Index finger,June,Summer,Yes,No,Seafood,Juice,Mathematics and statistics,10,9,5,Yes - other,Text messaging,0,1,3,0,3,10,8,6,4,5,4,3,1,3,Very little,Undergraduate degree,Rock and roll,Freeze time,Happy,Other,Health
USA,SC,2019,12,Female,17,Right-Handed,165,23,163,1,Car,8,.41,30,Gymnastics,936,850,984,759,11,59,23,Same length,7.6,6.8,Ring finger,November,Summer,No,No,Meat,Tea,History,8,6,5,Yes - other,Text messaging,650,800,100,6,15,4,6,0,58,80,35,5,36,4,A lot,Other,Country,Telepathy,Healthy,Relative,Health
USA,MA,2019,11,Female,15,Right-Handed,162,22,159,2,Walk,5,0.386,27,Lacrosse,1000,898,898,904,551,545,23,Left foot,85,90,Ring finger,December,Winter,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,10,7,Yes - other,Text messaging,30,20,10,1,40,10,2,0,3,2,45,20,0,5,A lot,Graduate degree,Pop,Telepathy,Happy,Relative,Health
USA,CT,2019,11,Male,17,Right-Handed,172.7,24.1,172.7,2,Walk,30,0.824,75,Soccer,1000,1000,1000,1000,15,15,24.1,Same length,70,80,Ring finger,March,Summer,Yes,No,Pizza/Pasta,Water,Art,9,12,4,Yes - other,Myspace Facebook other social networking sites or blog,100,50,8,1,1,12,2,5,2,4,2,0,8,1,A lot,Some college,Other,Telepathy,Rich,Musician or singer,Education/Youth development
USA,FL,2019,12,Male,18,Left-Handed,177.8,29.21,177.8,1,Car,22,.37,43,Football (American),1000,1000,500,500,750,1000,29.21,Same length,7.4,7.9,Ring finger,August,Summer,No,No,Pizza/Pasta,Sports drink,Mathematics and statistics,6,8,5,Yes - broadband connection,Cell phone,12,15,2,,,,,,,,,,,,,,,,,,
