Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,IN,2019,12,Male,17,Right-Handed,177.8,27,188,1,Bus,7,0.698,54,Swimming,503,289,48,0,807,1000,27,Same length,85,100,Ring finger,August,Summer,No,No,Meat,Sports drink,Physical education,6,10,8,Yes - other,Text messaging,43,56,20,1,0,1,16,28,10,5,10,0,26,1,Very little,Other,Rap/Hip hop,Super strength,Happy,Sports person,Education/Youth development
USA,WA,2019,11,Male,17,Right-Handed,185,32,172,9,Boat,360,0.315,45,Skateboarding/Rollerblading,360,642,1000,128,1000,1000,32,Right foot,8,9,Ring finger,June,Summer,No,Yes,Meat,Coffee,History,2,1 1/2,18,Yes - broadband connection,Myspace Facebook other social networking sites or blog,10000,2,1,6,-1,-2,5,4,7,1,6,9,2,-1,A lot,Less than high school,Jazz,Fly,Happy,Relative,Other
USA,NC,2019,12,Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,SC,2019,11,Male,18,Right-Handed,5’11,,,2,Car,3 min,.8,,Football (American),6,6,3,3,10,12344,,Right foot,,,Ring finger,September,Summer,No,No,Rice/Noodle dishes,Water,Other,8,9,4,Yes - dial-up connection,Text messaging,50,50,0,3,1,4,3,0,8,24,24,7,0,1,Some,Graduate degree,Rap/Hip hop,Invisibility,Happy,Sports person,Health
USA,VT,2019,10,Male,15,Right-Handed,167,26,177,2,Walk,6,.64,47,Other,900,700,850,700,500,450,26,Same length,6,6,Same length,June,Fall,No,No,Meat,Milk,Mathematics and statistics,8,10,5,Yes - broadband connection,In person,6,4,0,0,8,3,3,12,0,2,15,4,0,0,Very little,Some college,Rock and roll,Invisibility,Happy,Friend,Wildlife animals
USA,CA,2019,12,Male,17,Right-Handed,163,26,169,2,Car,12,0.279,36,Basketball,700,700,700,900,800,900,27,Left foot,75,72,Index finger,May,Summer,No,No,Rice/Noodle dishes,Water,Computers and technology,6,7,5,Yes - broadband connection,Text messaging,300,400,56,3,5,3,56,70,40,21,24,30,40,12,Very little,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Health
USA,MA,2019,6,Female,12,Right-Handed,161.3,30,169,1,Bus,20,0.486,33,Tennis,950,1000,990,1000,500,1000,31,Left foot,75,85,Ring finger,February,Spring,No,No,Desserts,Water,Physical education,9,9,4,Yes - broadband connection,Text messaging,10,350,35,0,5,10,5,2,1,3,5,2,0,2,Some,Graduate degree,Pop,Invisibility,Famous,Relative,Wildlife animals
USA,SC,2019,11,Female,18,Right-Handed,175.3,27,175,2,Car,10,0.621,42,Soccer,1000,800,700,800,1000,1000,26,Right foot,7,7,Same length,October,Spring,No,No,Rice/Noodle dishes,Tea,English,7,10,3,Yes - broadband connection,Cell phone,20,20,10,1,20,10,2,2,20,20,20,15,0,4,A lot,Graduate degree,Pop,Invisibility,Healthy,Friend,Environment
USA,IN,2019,12,Female,16,Right-Handed,160cm,25,167,2,Car,8,.399,39,Dancing,615,27,80,717,37,316,25,Same length,9.5,7.5,Index finger,December,Fall,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,9,11,4,Yes - other,Internet chat or instant messaging,300,400,4,1,8,12,10,0,23,140,148,5,0,6,A lot,Some college,Country,Telepathy,Happy,Doctor or nurse,Wildlife animals
USA,GA,2019,11,Female,15,Right-Handed,165,23,165,3,Bus,30,0.58,46,Cycling,818,433,941,626,59,487,23,Same length,72,71,Index finger,June,Winter,Yes,No,Breads/Sandwiches,Water,Science,7,10,4,Yes - broadband connection,Text messaging,50,50,6,1,24,10,4,0,0,3,15,2,0,8,Some,Graduate degree,Pop,Fly,Healthy,Doctor or nurse,Health
USA,NC,2019,12,Female,15,Right-Handed,175,25,25,2,Car,10,.486,49,Other,800,1000,1000,900,200,300,25,Same length,80,80,Same length,February,Winter,Yes,No,Desserts,Water,Mathematics and statistics,9,11,3,Yes - broadband connection,Text messaging,50,70,3,1,14,14,7,0,14,7,28,9,0,2,A lot,Graduate degree,Pop,Telepathy,Healthy,Doctor or nurse,Health
USA,IL,2019,10,Male,15,Right-Handed,170,25,75,2,Car,16,0.377,48,Martial Arts,529,840,572,920,348,497,25,Same length,95,85,Ring finger,February,Winter,No,No,Meat,Tea,Music,7,10,5,Yes - broadband connection,Internet chat or instant messaging,23,34,8,1,7,40,14,4,5,7,6,3,0,10,Some,Graduate degree,Other,Freeze time,Happy,Friend,Arts culture sports
USA,WA,2019,12,Female,17,Ambidextrous,170.8,26.17,170,2,Car,15,.34,42,Other,1000,398,1000,1000,1000,1000,26.17,Same length,120,85,Index finger,January,Summer,Yes,No,No favorite,Coffee,Art,6,10,4,Yes - broadband connection,Text messaging,6,30,30,2,12,20,14,5,30,3,30,12,7,0,Some,Graduate degree,Other,Telepathy,Rich,Doctor or nurse,Wildlife animals
USA,IN,2019,12,Male,17,Right-Handed,181.5,27,188.5,1,Car,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,KS,2019,12,Male,16,Left-Handed,179,27,180,1,Car,7,.298,41,Basketball,850,750,850,750,450,750,27,Same length,82,80,Index finger,March,Summer,Yes,No,Meat,Water,Mathematics and statistics,8,10,5,Yes - broadband connection,Text messaging,80,80,7,3,10,12,2,3,2,3,4,3,2,1,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Relative,Health
USA,OH,2019,10,Male,16,Right-Handed,178,20.32,71.12,1,Car,15,0.274,52,Walking/Hiking,524,444,588,369,893,898,23,Left foot,8,7.9,Index finger,July,Spring,Yes,No,Meat,Milk,Science,7,8,3,Yes - broadband connection,Internet chat or instant messaging,3,5,20,1,10,1,3,12,13,5,20,1,0,3,Some,Other,Other,Telepathy,Happy,Other,Health
USA,NY,2019,12,Female,18,Right-Handed,157cm,23cm,157cm,1,Walk,10,1.911,47,None,80,60,90,70,50,50,22cm,Right foot,7mm,75mm,Ring finger,July,Spring,No,No,Salads,Water,Art,6,4,6,Yes - other,Cell phone,100,100,40,20,2,5,0,0,9,9,2,0,0,0,A lot,Graduate degree,Other,Telepathy,Healthy,Relative,International aid
USA,OH,2019,12,Female,18,Right-Handed,160.0,23,155,2,Car,15,.526,50,Baseball/Softball,802,647,519,626,439,294,24,Left foot,7,7.5,Ring finger,December,Summer,Yes,No,Pizza/Pasta,Tea,Music,6,10,4,Yes - broadband connection,Myspace Facebook other social networking sites or blog,50,70,21,2,7,4,30,10,57,30,2,4,20,20,Some,Undergraduate degree,Pop,Invisibility,Rich,Business person,Wildlife animals
