Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Dotion
USA,OR,2019,8,Male,13,Right-Handed,157.5,26,68,1,Car,45,0.368,38,Basketball,950,760,570,780,800,600,22,Right foot,9,6,Index finger,July,Summer,Yes,No,Fruit,Water,Mathematics and statistics,7,9,4,Yes - broadband connection,In person,0,0,6,1,0,5,5,2,0,0,3,4,1,7,A lot,Graduate degree,Reggae,Freeze time,Hay,Actor,Health
USA,OR,2019,10,Female,15,Right-Handed,159,25,159,1,Car,5,0.757,0.36,Baseball/Softball,900,800,800,800,600,700,25,Right foot,91,90,Index finger,June,Fall,No,No,Meat,Water,Mathematics and statistics,6,10,5,Yes - other,Internet chat or instant messaging,70,60,20,5,4,10,20,30,50,50,60,15,0,7,Some,Some college,Po,Invisibility,Famous,Actor,Wildlife animals
USA,OR,2019,10,Male,16,Right-Handed,180,27,90,1,Car,10,0.46,48,Other,500,600,100,100,800,800,26,Right foot,94,100,Ring finger,June,Winter,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,7,7,7,Yes - broadband connection,Text messaging,30,40,5,1,21,16,7,14,7,7,7,7,0,7,A lot,Graduate degree,Ra/Hi ho,Freeze time,Rich,Politician,Intertiol aid
USA,OR,2019,10,Female,15,Right-Handed,157,22.5,156,1,Car,10,0.6,56,Walking/Hiking,,,,,,,23,Left foot,70,67,Index finger,October,Summer,Yes,No,Poultry,Water,Social studies,6,8,4,Yes - broadband connection,In person,30,30,28,20,9,9,7,1,13,10,13,3,0,7,A lot,Graduate degree,Ra/Hi ho,Freeze time,Hay,Doctor or nurse,Education/Youth develoment
USA,OR,2019,8,Male,13,Left-Handed,,26,,1,Bus,30,0.3,57,Other,807,636,749,866,1000,1000,27,Left foot,85,77,Index finger,July,Winter,No,No,Pizza/Pasta,Water,Comuters and technology,6,7,3,Yes - other,Text messaging,3,0,0,0,30,90,0,40,0,3,80,0,0,7,Some,Graduate degree,Other,,Hay,Other,Other
USA,OR,2019,10,Male,17,Right-Handed,185,26,185,2,Car,5,0.52,73,Swimming,1000,800,600,500,100,0,26,Same length,100,105,Ring finger,Setember,Summer,Yes,No,Meat,Water,History,6,8,5,Yes - other,,300,400,10,12,3,14,6,0,8,12,12,0,24,6,Some,Some college,Ra/Hi ho,Fly,Hay,Relative,Environment
USA,OR,2019,10,Female,17,Right-Handed,174,24,,3,Car,15,0.07,35,Swimming,1000,1000,1000,1000,500,700,24,Same length,99,100,Ring finger,Aril,Winter,No,No,Fruit,Water,History,7,12,3,Yes - broadband connection,Text messaging,150,300,40,35,5,40,6,0,,,,30,20,6,Some,Some college,Ra/Hi ho,Telepathy,Rich,Friend,Intertiol aid
USA,OR,2019,10,Female,16,Right-Handed,165,24,167,0,Car,20,0.748,59,Swimming,5000,5000,5000,5000,8000,9000,25,Left foot,90,90,Same length,February,Summer,No,No,No favorite,Water,Physical education,7,10,5,Yes - broadband connection,Text messaging,,,7,1,1,30,1,1,7,6,4,10,17,6,A lot,,,,,,
USA,OR,2019,10,Female,17,Right-Handed,160,30,163,1,Car,30,0.831,34,Dancing,800,750,850,750,550,550,30,Same length,119,453,Ring finger,March,Winter,Yes,No,Meat,Coffee,Other,5,7,6,Yes - other,Cell phone,3,3,5,1,18,2,21,0,3,1,10,10,0,6,A lot,Graduate degree,Other,Telepathy,Healthy,Other,Wildlife animals
USA,OR,2019,10,Male,14,Right-Handed,176,26,177,1,Car,20,0.682,46,Baseball/Softball,800,200,0,200,800,1000,26,Same length,65,100,Ring finger,October,Summer,Yes,No,Meat,Soft drink (caffeited),History,5.5,9,4,Yes - broadband connection,Cell phone,8,8,7,6,1,6,0,9,1,0.5,24,8,0,6,Very little,Graduate degree,Country,Invisibility,Rich,Sorts erson,Intertiol aid
USA,OR,2019,10,Female,15,Right-Handed,63.5,25,165,1,Car,15,0.763,50,Dancing,500,500,700,600,1000,1000,26,Left foot,95,100,Ring finger,November,Sring,No,No,Pizza/Pasta,Water,History,9,7,4,Yes - other,Text messaging,4,4,15,0,5,7,9,0,5,5,8,5,0,6,A lot,Some college,Po,Fly,Healthy,Friend,Health
USA,OR,2019,9,Male,14,Right-Handed,170,25.4,,1,Bus,45,0.409,32,None,450,600,150,300,1000,1000,24.13,Right foot,76,86,Ring finger,July,Sring,No,No,Seafood,Tea,Comuters and technology,8,43718,8,Yes - other,Internet chat or instant messaging,2,0,0,0,14,3,0,74,20,1,12,0,0,6,A lot,Graduate degree,Punk rock,Fly,Rich,Musician or singer,Other
USA,OR,2019,10,Male,17,Right-Handed,,,,,Car,10,,,Athletics,,,,,,,,Left foot,,,Ring finger,Aril,Winter,No,No,Fruit,Water,Science,5,8,6,Yes - other,Internet chat or instant messaging,2,7,30,6,5,40,5,5,30,3,40,15,26,5,A lot,Some college,Ra/Hi ho,Fly,Hay,Doctor or nurse,Wildlife animals
USA,OR,2019,10,Female,17,Right-Handed,165,24,175,1,Bus,30,0.735,60,Swimming,900,100,10,30,100,1000,24,Same length,97,97,Same length,March,Fall,Yes,No,Desserts,Soft drink (caffeited),History,6,4,3,Yes - other,Internet chat or instant messaging,300,300,5,5,5,5,0,5,20,20,20,25,20,5,Some,Graduate degree,Country,Telepathy,Hay,Actor,Health
USA,OR,2019,10,Female,16,Right-Handed,176,28,171,1,Car,17,0.251,49,Athletics,700,400,600,400,400,600,29,Left foot,90,80,Index finger,October,Fall,No,No,Pizza/Pasta,Water,Other,8,10,4,Yes - other,Myspace Facebook other social networking sites or blog,40,50,20,4,3,30,3,0,10,20,10,4,20,5,Some,Graduate degree,Ra/Hi ho,Invisibility,Hay,Friend,Wildlife animals
