Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation,School
USA,OR,2017,12,Male,16,Right-Handed,170,30,167.6,2,Car,11,0.336,47,Soccer,500,700,600,700,1000,1000,29,Right foot,10,10,Ring finger,December,Fall,No,No,Meat,Water,History,8,6,4,Yes - broadband connection,Cell phone,150,160,10,1,10,2,10,0,10,10,10,10,0,2,Some,High school,Rap/Hip hop,Invisibility,Rich,Business person,Health,high
USA,OR,2012,7,Male,12,Right-Handed,151,29,150,1,Bus,35,0.343,34,Swimming,893,952,952,861,701,701,,Same length,,,,June,Summer,No,No,Pizza/Pasta,Water,Computers and technology,10,11,5,Yes - dial-up connection,In person,1,2,10,1,1,7,5,10,6,1,1,9,2,2,Very little,Graduate degree,Other,Fly,Rich,Relative,International aid,middle
USA,OR,2012,7,Male,12,Right-Handed,172,27,176,1,Bus,15,0.25,34,None,444,310,246,412,807,973,,,,,,March,Winter,No,No,Meat,Milk,Computers and technology,8,10,4,Yes - broadband connection,Internet chat or instant messaging,0,0,5,0,3,1,0,8,0,4,8,6,0,2,Very little,Other,Rap/Hip hop,Fly,Rich,Other,International aid,middle
USA,OR,2017,12,Male,16,Right-Handed,175,30,173,1,Car,5,0.4,40,Football (American),80,70,50,50,60,75,30,Same length,8,8,Same length,February,Summer,No,No,Desserts,Water,Physical education,9,8,4,Yes - broadband connection,Text messaging,30,25,6,0,3,3,13,2,12,6,4,6,0,2,Some,Graduate degree,Country,Freeze time,Rich,Sports person,Health,high
USA,OR,2019,9,Male,15,Right-Handed,175,30,172,1,Walk,7,0.028,54,Football (American),400,500,200,800,10,1000,29,Right foot,80,90,Ring finger,August,Spring,No,No,Other,Soft drink (caffeinated),,8,8,3,Yes - dial-up connection,Cell phone,200,200,5,5,0,2,1,4,5,5,5,5,0,2,Some,High school,Country,Super strength,Rich,Other,"Wildlife, animals",high
USA,OR,2019,10,Female,16,Left-Handed,172,23,,1,Car,25,0.134,68,Skateboarding/Rollerblading,0,1000,500,700,300,800,23.2,Left foot,80,90,Ring finger,July,Summer,No,No,No favorite,Juice,Other,4,2,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",3,5,100,4,5,40,6,0,60,3,80,4,0,2,A lot,Some college,Rap/Hip hop,Fly,Rich,Relative,International aid,high
USA,OR,2015,12,Female,17,Right-Handed,152,22,149,1,Car,9,0.282,29,Soccer,,,,,,,23,Left foot,70,72,Ring finger,April,Summer,No,No,Desserts,Water,Science,8,5,3,Yes - other,Text messaging,200,400,6,1,9,5,12,0,10,2,2,4,0,2,A lot,Graduate degree,Country,Invisibility,Rich,Relative,Health,high
USA,OR,2015,12,Male,18,Right-Handed,78.5,28,181,1,Car,10,0.35,39,Baseball/Softball,476,679,64,102,775,840,27,Same length,99,99,Same length,July,Summer,Yes,No,Meat,Sports drink,Science,8,10,4,Yes - broadband connection,Text messaging,20,20,18,0,8,10,10,8,5,3,10,3,0,2,Very little,Graduate degree,Rap/Hip hop,Fly,Rich,Sports person,Health,high
USA,OR,2017,12,Male,17,Ambidextrous,180,27,185,2,Car,15,0.387,43,Football (American),1000,1000,1000,1000,8000,5000,26,Right foot,90,94,Ring finger,November,Summer,No,No,No favorite,Water,Physical education,4,10,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",5,5,3,0,8,0,23,1,3,2,5,3,10,2,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Doctor or nurse,"Wildlife, animals",high
USA,OR,2016,12,Male,16,Right-Handed,180,25,185,2,Car,4,0.276,48,Basketball,893,679,577,604,268,521,25,Same length,9.8,10,Ring finger,May,Spring,No,No,Meat,Water,English,7,8,3,Yes - broadband connection,Text messaging,2,2,7,1,3,7,7,2,8,1,8,1,0,2,Very little,Undergraduate degree,Rap/Hip hop,Freeze time,Rich,Relative,Environment,high
USA,OR,2015,12,Male,15,Right-Handed,173,25,176,1,Walk,5,0.447,49,Martial Arts,1000,1000,1000,1000,100,1000,25,Same length,87,85,Index finger,March,Spring,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,9,3,Yes - broadband connection,In person,0,0,2,1,30,7,6,15,2,0,14,0,0,2,A lot,Graduate degree,Pop,Invisibility,Rich,Teacher,International aid,high
USA,OR,2012,12,Male,17,Right-Handed,183,26,185,1,Car,6,0.478,43,Other,4500,9100,1000,0,1000,1000,27,Left foot,90,90,Same length,July,Spring,No,No,Desserts,Juice,Physical education,7,10,5,Yes - broadband connection,In person,50000,90000,12,1,3,2,15,28,28,3,5,12,0,1,A lot,Graduate degree,Reggae,Fly,Rich,Sports person,Health,high
USA,OR,2019,10,Female,18,Right-Handed,75,26,169,1,Car,5,0.657,38,Soccer,800,200,900,500,100,600,25,Right foot,5,5.5,Ring finger,July,Summer,Yes,No,Seafood,Juice,Languages,,,6,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,150,10,4,2,2,4,0,9,9,10,5,15,1,Some,Graduate degree,Rap/Hip hop,Invisibility,Rich,Friend,Education/Youth development,high
USA,OR,2015,12,Male,17,Left-Handed,164.5,25,168.5,1,Car,10,0.332,36,Soccer,,,,,,,26,,100,95,Index finger,August,Spring,Yes,No,Meat,Sports drink,Physical education,9,10,4,Yes - broadband connection,Text messaging,15,40,10,1,15,20,5,1,10,10,5,5,0,1,Some,Graduate degree,Pop,Freeze time,Rich,Relative,International aid,high
USA,OR,2016,12,Male,18,Right-Handed,165,25,165,2,Bicycle,10,0.318,36,Basketball,758,576,525,727,845,1000,24,Right foot,6.5,6.5,Same length,October,Spring,Yes,No,Meat,Water,English,8,9,6,Yes - broadband connection,Text messaging,26,33,12,2,6,8,1,6,1,4,20,4,0,1,Some,Graduate degree,Pop,Freeze time,Rich,Relative,International aid,high
USA,OR,2015,12,Male,17,Right-Handed,159,26,181,1,Car,25,0.35,37,Soccer,900,800,500,900,1000,1000,27,Same length,89,83,Index finger,January,Summer,No,Yes,Fruit,Water,Science,7,9,4,Yes - broadband connection,Text messaging,200,200,10,1,3,10,20,4,1,2,2,2,10,1,Some,Graduate degree,Rap/Hip hop,Fly,Rich,Sports person,"Wildlife, animals",high
USA,OR,2017,12,Female,18,Right-Handed,155.9,26,149,2,Car,35,0.371,52,Tennis,900,700,500,200,0,1000,26,Same length,7.5,7,Index finger,November,Fall,Yes,No,Soups,Water,Physical education,6,9,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",15,20,5,1,12,2,0,0,14,1,1,2,20,1,A lot,Undergraduate degree,Pop,Invisibility,Rich,Friend,International aid,high
USA,OR,2017,12,Male,17,Right-Handed,147,24,163,1,Car,8,0.467,46,Soccer,850,750,800,900,250,500,25,Left foot,80,70,Index finger,June,Fall,No,No,Pizza/Pasta,Water,,7,9,5,Yes - broadband connection,In person,4,10,5,1,4,1,10,2,1,1,1,2,10,1,None,Graduate degree,Other,Freeze time,Rich,Relative,"Arts, culture, sports",high
USA,OR,2017,9,Male,15,Right-Handed,171,24,179,2,Car,10,0.227,37,Tennis,800,650,700,500,400,200,23,Right foot,70,80,Ring finger,February,Summer,Yes,No,Meat,Soft drink (caffeinated),Music,6,9,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,80,6,0,2,4,2,1,5,2,7,1,0,1,A lot,Some college,Rap/Hip hop,Invisibility,Rich,Relative,Religious,high
USA,OR,2015,12,Male,17,Right-Handed,74,27,173,1,Car,12,0.218,30,Walking/Hiking,1000,1000,900,950,1000,1000,26,Right foot,99,100,Ring finger,September,Fall,No,No,Rice/Noodle dishes,Water,Music,6,8,4,Yes - broadband connection,Internet chat or instant messaging,2,2,2,0,4,2,1,4,0,0,4,1,0,1,Some,Graduate degree,Classical,Fly,Rich,Friend,Environment,high
USA,OR,2018,9,Male,15,Left-Handed,76,26,160,1,Car,30,0.417,41,Football (American),101,3,2,100,9,10,24,Right foot,80,65,Index finger,September,Spring,No,No,Meat,Water,Mathematics and statistics,9,9,5,No internet connection,In person,0,0,6,0,1,2,3,1,0,0,3,1,0,1,Very little,Some college,Country,Invisibility,Rich,Relative,"Wildlife, animals",high
USA,OR,2019,10,Male,15,Right-Handed,165,23,152,1,Walk,15,0.66,66,Basketball,500,500,700,835,0.1,899,22,Right foot,88,91,Ring finger,July,Summer,No,No,Pizza/Pasta,Water,Mathematics and statistics,8,9,7,Yes - other,In person,4,7,1,0.5,0.5,2,2,1,0,0,0,1,0,1,Some,Some college,Rap/Hip hop,Invisibility,Rich,Other,Environment,high
USA,OR,2017,12,Female,16,Right-Handed,168,23,160,2,Car,7,0.388,45,Other,1000,1000,1000,1000,400,700,23,Same length,8,7.5,Index finger,May,Summer,No,No,Seafood,Water,,8,12,6,Yes - other,"Myspace, Facebook, other social networking sites, or blog",5,5,6,0,2,1,0,0,12,4,34,0,0,1,Some,Graduate degree,Pop,Invisibility,Rich,Relative,Education/Youth development,high
USA,OR,2019,10,Male,15,Right-Handed,186,28,191,1,Car,10,0.082,32,Basketball,750,650,1000,400,200,1000,29,Left foot,100,120,Ring finger,December,Summer,Yes,No,Meat,Soft drink (caffeinated),Physical education,3,3,4,Yes - dial-up connection,"Myspace, Facebook, other social networking sites, or blog",200,200,1,5,2,4,3,1,5,5,15,0,0,1,Some,Some college,Rap/Hip hop,Super strength,Rich,Sports person,"Arts, culture, sports",high
USA,OR,2015,12,Male,17,Right-Handed,72.5,25,170,1,Car,5,0.3,50,Soccer,500,600,600,600,800,800,25,Same length,10,10,Same length,August,Summer,No,No,Meat,Soft drink (caffeinated),Art,8,10,2,Yes - broadband connection,Text messaging,50,100,2,3,1,3,2,2,3,1,2,0,0,1,Some,Some college,Rap/Hip hop,Fly,Rich,Sports person,International aid,high
USA,OR,2014,12,Female,17,Right-Handed,157,22,166,1,Car,4,0.313,44,Dancing,200,800,500,800,600,1000,22,Same length,92,81,Index finger,July,Summer,No,No,Pizza/Pasta,Coffee,Physical education,9,6,4,Yes - other,Text messaging,50,45,3,1,4,0,16,0,3,2,1,0,0,1,Some,Graduate degree,Pop,Invisibility,Rich,Relative,International aid,high
USA,OR,2018,9,Male,14,Right-Handed,167.6,3.2,16,1,Car,3,0.468,52,Other,500,500,500,500,500,500,16,Same length,16.5,6,Index finger,March,Summer,Yes,No,Meat,Soft drink (caffeinated),Physical education,,,8,Yes - other,Cell phone,8,8,2,1,0.5,1,3,10,10,3,10,10,2,0.5,Some,High school,Country,Invisibility,Rich,Sports person,Other,high
USA,OR,2019,10,Female,16,Right-Handed,165.1,22.86,163.4,1,Car,15,0.699,40,Other,500,700,700,800,300,1000,22.78,Right foot,,,Ring finger,November,Summer,No,No,Pizza/Pasta,Juice,Mathematics and statistics,6,5,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",22,15,50,100,12,24,34,0,100,130,145,4,24,0,Some,Undergraduate degree,Rap/Hip hop,Telepathy,Rich,Friend,Education/Youth development,high
USA,OR,2017,12,Male,18,Right-Handed,177,28,180,2,Car,15,0.4,41,Soccer,497,497,497,497,1000,1000,27,Right foot,70,80,Ring finger,September,Fall,No,No,Meat,Coffee,Mathematics and statistics,5,5,3,Yes - broadband connection,Internet chat or instant messaging,12,20,10,4,7,12,4,20,4,4,20,4,0,0,Very little,Some college,Rap/Hip hop,Freeze time,Rich,Relative,"Arts, culture, sports",high
USA,OR,2019,10,Male,15,Right-Handed,180,28,179,2,Car,11,0.402,50,Soccer,1000,250,500,500,750,750,28,Same length,850,950,Ring finger,August,Winter,No,No,Pizza/Pasta,Water,Science,8,12,3,Yes - broadband connection,In person,2,0,0,0,1,1,0,8,0,0,8,4,0,0,Some,Graduate degree,Pop,Telepathy,Rich,Other,Health,high
USA,OR,2016,12,Male,17,Right-Handed,173.5,25,171.5,1,Skateboard/Scooter/Rollerblade,5,0.386,58,Cycling,800,700,650,600,300,500,25.5,Left foot,77,80,Ring finger,June,Winter,Yes,No,Meat,Soft drink (caffeinated),Science,5,7,5,Yes - broadband connection,Internet chat or instant messaging,20,15,35,2,2,1,1,14,4,4,10,3,0,0,Some,Graduate degree,Other,Freeze time,Rich,Other,Health,high
USA,OR,2017,12,Male,18,Right-Handed,178,10,172,2,Walk,9,0.361,60,Other,1000,900,1000,1000,50,999,27,Left foot,80,80,Same length,January,Summer,No,No,Meat,Water,Computers and technology,8,10,9,No internet connection,"Myspace, Facebook, other social networking sites, or blog",0,1,0,0,5,6,10,0,3,0,3,2,0,0,Some,Undergraduate degree,Rap/Hip hop,Super strength,Rich,Relative,International aid,high
USA,OR,2014,12,Male,17,Right-Handed,184,24,186,2,Car,20,0.079,44,Basketball,700,700,300,700,500,500,25,Left foot,90,95,Ring finger,June,Summer,Yes,No,Meat,Water,Other,9,8,6,Yes - broadband connection,Cell phone,10,15,0,1,0,5,2,1,1,1,1,2,15,0,Very little,Graduate degree,Pop,Super strength,Rich,Coach or club leader,Religious,high
USA,OR,2018,9,Male,15,Right-Handed,169,29,172,1,Bus,20,0.27,56,Basketball,0,0,0,0,0,690,29,Same length,14,14,Same length,March,Winter,No,No,Pizza/Pasta,Other,English,8,4,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",100,300,2,2,0,1,2,2,3,1,0,1,0,0,A lot,Graduate degree,Country,Freeze time,Rich,Other,Health,high
USA,OR,2017,12,Male,17,Left-Handed,177,30,175,1,Rail (Train/Tram/Subway),25,1.066,53,Other,0,1000,1000,1000,1000,1000,28,Right foot,10,8.5,Index finger,April,Summer,No,No,Other,Water,Other,5,12,4,Yes - dial-up connection,"Myspace, Facebook, other social networking sites, or blog",0,5,7,0,0,3,10,0,34,74,168,0,0,0,Some,High school,Rap/Hip hop,Freeze time,Rich,Coach or club leader,Health,high
USA,OR,2017,12,Male,18,Right-Handed,173,29,177,1,Car,12,0.349,34,Football (American),850,650,100,600,800,1000,28,Right foot,7,8,Ring finger,September,Winter,No,No,Pizza/Pasta,Water,Science,8,10,4,Yes - broadband connection,Text messaging,20,20,2,1,3,1,15,2,2,1,50,0,0,0,Some,Graduate degree,Techno/Electronic,Freeze time,Rich,Relative,"Wildlife, animals",high
USA,OR,2017,12,Male,17,Right-Handed,175,23,170,2,Car,17,0.348,32,Tennis,999,888,888,777,777,999,23,Same length,86,92,Ring finger,November,Summer,Yes,No,Meat,Tea,Physical education,5,7,4,Yes - broadband connection,Text messaging,100,100,4,0,3,1,10,0,2,2,2,0,20,0,A lot,Graduate degree,Rap/Hip hop,Telepathy,Rich,Sports person,"Wildlife, animals",high
USA,OR,2019,11,Male,15,Right-Handed,169.5,26.7,72,2,Walk,3,0.675,84,Soccer,450,500,500,650,999,800,26.4,Same length,87,91,Ring finger,October,Summer,Yes,No,No favorite,Energy drink,Computers and technology,8,9,6,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",15,279,5,0,3,,13,10,5,3,5,2,0,,Some,Graduate degree,Rap/Hip hop,Freeze time,Rich,Relative,Other,high
USA,OR,2019,10,Male,16,Left-Handed,183,29.9,185,1,Car,10,0.371,51,Football (American),200,300,200,400,500,800,30.1,Left foot,80,90,Ring finger,June,Winter,No,No,Desserts,Water,Physical education,9,8,4,Yes - broadband connection,Text messaging,40,43,3,,1,,3,,,1,1,,,,Some,Some college,Rap/Hip hop,Fly,Rich,Sports person,"Wildlife, animals",high
USA,OR,2019,10,Male,16,Right-Handed,175,27,177,1,Car,20,0.541,77,Swimming,0,0,0,0,500,500,27,Same length,95,100,Ring finger,April,Fall,No,No,Meat,Tea,History,7,10,4,Yes - broadband connection,Text messaging,60,70,10,10,7,7,3,,,,,,,,Very little,High school,Classical,Super strength,Rich,Friend,Environment,high
USA,OR,2012,7,Male,12,Right-Handed,154,22,151,0,Bus,,,0.373,,,,,,,,,Same length,,,,August,,No,No,Meat,Other,,,,,,Other,,,,,,,,,,,,,,,,,,,Rich,Relative,Other,middle
USA,OR,2017,12,Female,18,Right-Handed,157.4,22,153.5,2,Car,10,56,44,Soccer,500,600,800,700,200,700,23,Left foot,70.5,70.5,Same length,December,Spring,Yes,No,Meat,Water,Art,7,9,9,Yes - broadband connection,Text messaging,95,100,25,10,20,10,3,0,50,100,25,3,0,15,Some,Graduate degree,Pop,Telepathy,Healthy,Relative,Health,high
USA,OR,2017,12,Male,17,Right-Handed,174,23,174,4,Bus,20,0.362,45,Other,990,1000,1000,900,700,1000,23,Same length,71,74,Ring finger,September,Fall,No,No,Meat,Water,Mathematics and statistics,8,10,4,Yes - broadband connection,Text messaging,1,2,20,1,5,1,22,40,10,1,50,0,0,15,None,Graduate degree,Pop,Super strength,Healthy,Relative,Education/Youth development,high
USA,OR,2017,9,Female,15,Ambidextrous,167.6,26,166,3,Walk,3,0.305,30,Dancing,684,770,845,845,0,600,26,Same length,80,95,Ring finger,October,Fall,No,No,Seafood,Tea,Languages,7,11,4,Yes - dial-up connection,Internet chat or instant messaging,166,183,45,0,6,2,15,0,15,42,50,0,0,13,Some,Graduate degree,Other,Telepathy,Healthy,Musician or singer,International aid,high
USA,OR,2018,9,Male,14,Right-Handed,,,,,Bus,,,,Basketball,600,500,400,500,600,900,,Left foot,,,Ring finger,February,Spring,Yes,No,Pizza/Pasta,Water,English,9,5,6,Yes - other,In person,4,8,8,2,6,7,10,6,4,8,15,8,0,12,Some,Graduate degree,Rock and roll,Super strength,Healthy,Religious figure,"Wildlife, animals",high
USA,OR,2019,10,Female,16,Left-Handed,163,23.5,166,2,Car,8,0.701,42,Athletics,999,800,999,999,200,200,22,Right foot,92,102,Ring finger,November,Summer,No,No,Fruit,Water,Science,6,5,6,Yes - broadband connection,Internet chat or instant messaging,40,50,3,0.5,20,15,14,0.5,6,6,6,5,20,10,A lot,Graduate degree,Punk rock,Fly,Healthy,Doctor or nurse,Environment,high
USA,OR,2014,12,Female,17,Right-Handed,164,24,163,1,Car,11,3.18,34,Walking/Hiking,500,600,400,400,400,800,24,Same length,87,95,Ring finger,September,Fall,No,No,Meat,Water,Other,8,8,4,Yes - other,Text messaging,150,150,15,1,5,10,3,1,8,10,3,5,8,10,A lot,Graduate degree,Country,Invisibility,Healthy,Relative,Health,high
USA,OR,2019,10,Female,16,Left-Handed,162,24,160,1,Walk,10,0.419,53,Walking/Hiking,1000,500,500,1000,600,700,24,Same length,8.5,7.5,Index finger,September,Fall,Yes,No,Vegetables,Water,Music,6,5,5,Yes - other,Text messaging,300,400,24,10,13,17,11,20,27,16,29,3,0,10,Some,Some college,Pop,Telepathy,Healthy,Relative,Health,high
USA,OR,2018,9,Male,15,Right-Handed,178,27,176,1,Car,15,0.567,71,None,100,400,500,600,300,1000,27,Same length,8.7,8,Index finger,October,Fall,No,No,Pizza/Pasta,Tea,Other,9,9,5,Yes - broadband connection,Internet chat or instant messaging,120,120,5,0,1,7,10,0,0,7,0,3,5,10,None,Graduate degree,Rap/Hip hop,Super strength,Healthy,Relative,Environment,high
USA,OR,2019,10,Female,17,Right-Handed,162,23,161,1,Car,20,0.715,54,Other,800,700,400,300,400,400,23,Same length,90,95,Ring finger,March,Winter,No,No,Meat,Water,History,8,9,3,Yes - other,In person,30,30,2,1,20,30,20,0,10,1,10,2,13,10,A lot,Graduate degree,Country,Telepathy,Healthy,Relative,Health,high
USA,OR,2019,10,Female,17,Right-Handed,,23,158,1,Car,3,0.707,32,Other,1000,500,175,500,0,250,24,Left foot,8.5,8,Index finger,March,Fall,Yes,No,Pizza/Pasta,Water,Music,6,8,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,10,70,2,2,100,18,5,75,30,120,50,8,8,A lot,Graduate degree,Country,Invisibility,Healthy,Doctor or nurse,"Wildlife, animals",high
USA,OR,2019,10,Female,17,Right-Handed,,23,158,1,Car,3,0.707,32,Other,1000,500,175,500,0,250,24,Left foot,8.5,8,Index finger,March,Fall,Yes,No,Pizza/Pasta,Water,Music,6,8,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,10,70,2,2,100,18,5,75,30,120,50,8,8,A lot,Graduate degree,Country,Invisibility,Healthy,Doctor or nurse,"Wildlife, animals",high
USA,OR,2019,10,Female,17,Right-Handed,,23,158,1,Car,3,0.707,32,Other,1000,500,175,500,0,250,24,Left foot,8.5,8,Index finger,March,Fall,Yes,No,Pizza/Pasta,Water,Music,6,8,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,10,70,2,2,100,18,5,75,30,120,50,8,8,A lot,Graduate degree,Country,Invisibility,Healthy,Doctor or nurse,"Wildlife, animals",high
USA,OR,2019,10,Female,17,Right-Handed,160,34,163,1,Car,35,0.753,34,Dancing,800,800,850,750,550,650,34,Same length,40,30,Ring finger,March,Winter,Yes,No,Meat,Coffee,Other,5,7,6,Yes - other,Text messaging,5,3,2,1,28,3,21,1,3,2,2,5,0,8,A lot,Graduate degree,Other,Telepathy,Healthy,Other,Environment,high
USA,OR,2019,10,Male,16,Right-Handed,180,31,178,1,Car,10,0.47,45,Football (American),900,900,500,450,250,400,31,Same length,85,80,Index finger,November,Winter,No,No,No favorite,Sports drink,Physical education,6,8,6,Yes - broadband connection,Internet chat or instant messaging,75,85,45,15,6,19,15,3,15,15,2,3,9,8,Some,High school,Rap/Hip hop,Super strength,Healthy,Musician or singer,Education/Youth development,high
USA,OR,2019,10,Male,15,Right-Handed,181,30,191,1,Bus,20,0.668,68,Football (American),500,100,500,500,800,200,30,Same length,90,90,Same length,December,Summer,No,No,Meat,Water,Physical education,8,6,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",700,750,1,4,2,7,7,6,7,7,7,7,3,7,Some,Graduate degree,Rap/Hip hop,Super strength,Healthy,Other,"Wildlife, animals",high
USA,OR,2019,10,Female,17,Right-Handed,160,30,163,1,Car,30,0.831,34,Dancing,800,750,850,750,550,550,30,Same length,119,453,Ring finger,March,Winter,Yes,No,Meat,Coffee,Other,5,7,6,Yes - other,Cell phone,3,3,5,1,18,2,21,0,3,1,10,10,0,6,A lot,Graduate degree,Other,Telepathy,Healthy,Other,"Wildlife, animals",high
USA,OR,2019,10,Female,15,Right-Handed,63.5,25,165,1,Car,15,0.763,50,Dancing,500,500,700,600,1000,1000,26,Left foot,95,100,Ring finger,November,Spring,No,No,Pizza/Pasta,Water,History,9,7,4,Yes - other,Text messaging,4,4,15,0,5,7,9,0,5,5,8,5,0,6,A lot,Some college,Pop,Fly,Healthy,Friend,Health,high
USA,OR,2014,12,Female,17,Ambidextrous,163,23,164,1,Car,5,0.359,31,Gymnastics,600,500,300,200,800,950,23,Same length,88,93,Ring finger,March,Fall,Yes,No,Desserts,Water,English,8.5,9,3,Yes - other,Text messaging,100,100,35,2,4,5,7,1,4,15,10,10,0,5,Some,Undergraduate degree,Country,Telepathy,Healthy,Relative,Health,high
USA,OR,2019,10,Male,175,Right-Handed,175,26,180,1,Car,3,0.523,43,Swimming,600,800,700,500,400,500,26,Same length,104,103,Index finger,September,Fall,Yes,No,Pizza/Pasta,Water,Science,7,8,6,Yes - broadband connection,Cell phone,300,330,10,3,6,12,11,2,12,15,15,9,9,5,A lot,Graduate degree,Rock and roll,Fly,Healthy,Sports person,Education/Youth development,high
USA,OR,2019,10,Female,17,Right-Handed,167,23,165,1,Car,30,0.5,32,Baseball/Softball,100,700,800,500,0,800,23,Same length,80.5,80,Index finger,January,Fall,Yes,No,Rice/Noodle dishes,Water,Other,7,10,3,Yes - broadband connection,Internet chat or instant messaging,100,100,10,2,15,1,1,0,8,2,10,3,20,5,A lot,Graduate degree,Other,Freeze time,Healthy,Friend,Other,high
USA,OR,2019,10,Female,15,Left-Handed,162,23,166,1,Bus,28,0.43,42,Athletics,100,1000,982,1000,0,450,24,Left foot,90,95,Ring finger,December,Fall,No,No,Salads,Water,Science,7,9,7,Yes - other,Text messaging,8,8,4,2,6,14,8,0,8,12,14,4,0,4,Some,Graduate degree,Pop,Telepathy,Healthy,Musician or singer,Education/Youth development,high
USA,OR,2019,10,Female,15,Right-Handed,151,21,157,1,Walk,20,0.737,42,Running/Jogging,45,1000,100,500,200,650,21,Same length,8.5,9,Ring finger,December,Fall,No,No,Meat,Water,Physical education,,,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,60,8,1,2,7,7,1,8,3,7,3,1,4,Some,Some college,Other,Telepathy,Healthy,Relative,"Wildlife, animals",high
USA,OR,2019,10,Female,15,Right-Handed,172,24,171,1,Car,10,0.583,45,Baseball/Softball,900,900,800,800,700,600,24,Same length,14,16,Ring finger,May,Fall,No,No,Rice/Noodle dishes,Water,Physical education,9,10,4,Yes - other,Text messaging,15,10,6,1,2,7,10,1,3,2,2,2,2,4,Some,Graduate degree,Rock and roll,Freeze time,Healthy,Relative,"Wildlife, animals",high
USA,OR,2019,10,Female,15,Right-Handed,172,24,171,1,Car,10,0.583,45,Baseball/Softball,900,900,800,800,700,600,24,Same length,14,16,Ring finger,May,Fall,No,No,Rice/Noodle dishes,Water,Physical education,9,10,4,Yes - other,Text messaging,15,10,6,1,2,7,10,1,3,2,2,2,2,4,Some,Graduate degree,Rock and roll,Freeze time,Healthy,Relative,"Wildlife, animals",high
USA,OR,2012,12,Female,17,Left-Handed,166,26,167,1,Car,10,0.406,47,Swimming,912,867,834,919,603,486,25,Right foot,82,87,Ring finger,April,Summer,No,No,Pizza/Pasta,Water,Science,7,9,4,Yes - broadband connection,Text messaging,20,18,30,2,5,2,2,0,4,3,2,20,0,3,Some,Undergraduate degree,Pop,Freeze time,Healthy,Relative,Health,high
USA,OR,2015,12,Male,17,Right-Handed,193,32,190,1,Car,5,0.35,67,Football (American),500,300,400,670,900,1000,35,Same length,85,90,Ring finger,January,Winter,No,No,Pizza/Pasta,Sports drink,Physical education,7,8,2,Yes - other,Text messaging,25,100,16,0,10,10,21,6,4,3,15,9,0,3,A lot,Graduate degree,Rap/Hip hop,Super strength,Healthy,Relative,Health,high
USA,OR,2016,12,Female,17,Right-Handed,160,22,158,2,Car,7,0.338,34,Basketball,800,800,800,800,700,1000,23,Left foot,15,14,Index finger,June,Summer,No,No,Fruit,Water,Art,6,10,4,Yes - other,Text messaging,40,40,10,0.5,3,8,4,1,60,70,9,9,5,3,Some,Graduate degree,Pop,Freeze time,Healthy,Sports person,Religious,high
USA,OR,2014,12,Male,17,Right-Handed,173,28,179,1,Car,6,0.338,42,Running/Jogging,690,759,722,668,503,684,27,Right foot,107,114,Ring finger,May,Fall,No,No,No favorite,Water,Languages,8,9,4,Yes - broadband connection,In person,6,4,4,0.5,6,15,30,8,4,3,35,6,5,3,A lot,Graduate degree,Other,Freeze time,Healthy,Religious figure,Health,high
