Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation,School
USA,OR,2019,10,Female,15,Right-Handed,165,23.1,159.5,2,Walk,10,0.728,49,Golf,1000,1000,980,1000,300,100,23.1,Same length,87,100,Ring finger,June,Winter,Yes,No,Desserts,Tea,Art,9,11,5,Yes - other,Cell phone,0,0,4,14,8,5,2,9,3,4,20,14,1,7,A lot,Some college,Pop,Freeze time,Rich,Relative,Health,high
USA,OR,2017,11,Female,16,Right-Handed,168,28,166,2,Walk,1,0.776,33,Cycling,1000,754,1000,1000,755,1000,27.94,Same length,106,106,Same length,April,Fall,No,No,Desserts,Tea,Science,9,7,16,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,3,9,2,7,7,8,0,8,3,10,7,0,7,Some,Graduate degree,Pop,Freeze time,Rich,Friend,Education/Youth development,high
USA,OR,2019,10,Female,17,Right-Handed,174,24,,3,Car,15,0.07,35,Swimming,1000,1000,1000,1000,500,700,24,Same length,99,100,Ring finger,April,Winter,No,No,Fruit,Water,History,7,12,3,Yes - broadband connection,Text messaging,150,300,40,35,5,40,6,0,,,,30,20,6,Some,Some college,Rap/Hip hop,Telepathy,Rich,Friend,International aid,high
USA,OR,2017,12,Female,18,Right-Handed,159.5,24,160,2,Bus,15,0.403,46,Walking/Hiking,1000,900,700,500,700,900,24.5,Left foot,7,6.5,Index finger,July,Summer,,No,Pizza/Pasta,Water,Mathematics and statistics,6,8,3,Yes - broadband connection,Cell phone,50,40,6,4,6,0,10,0,50,6,50,6,24,6,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,Environment,high
USA,OR,2019,9,Male,14,Right-Handed,170,25.4,,1,Bus,45,0.409,32,None,450,600,150,300,1000,1000,24.13,Right foot,76,86,Ring finger,July,Spring,No,No,Seafood,Tea,Computers and technology,8,,8,Yes - other,Internet chat or instant messaging,2,0,0,0,14,3,0,74,20,1,12,0,0,6,A lot,Graduate degree,Punk rock,Fly,Rich,Musician or singer,Other,high
USA,OR,2019,10,Male,15,Right-Handed,181,29,87,1,Walk,20,0.61,51,None,500,500,50,50,1000,950,29,Same length,9,11,Ring finger,July,Summer,No,No,Pizza/Pasta,Soft drink (caffeinated),History,7,12,4,Yes - broadband connection,Internet chat or instant messaging,0,1,10,0,5,2,0,39,1,0,39,39,0,5,A lot,Graduate degree,Other,Freeze time,Rich,Other,Health,high
USA,OR,2019,10,Male,14,Right-Handed,182,25,175,1,Car,5,0.64,65,Basketball,,,,,,,25,Same length,90,95,Ring finger,September,Winter,Yes,No,Other,Soft drink (caffeinated),Physical education,6,7,6,Yes - broadband connection,Internet chat or instant messaging,100,50,15,0.25,1,30,20,15,25,25,50,20,0,5,Some,Graduate degree,Rap/Hip hop,Freeze time,Rich,Sports person,Health,high
USA,OR,2018,9,Male,13,Ambidextrous,190,30,200,1,Bus,60,0.321,36,Baseball/Softball,500,0,200,1000,100,700,30,Same length,85,80,Index finger,November,Winter,Yes,No,Pizza/Pasta,Sports drink,Mathematics and statistics,,,3,,In person,1,21,30,1,2,5,10,5,2,0,6,10,5,5,None,Graduate degree,Rap/Hip hop,Freeze time,Rich,Sports person,International aid,high
USA,OR,2014,12,Male,16,Left-Handed,168,23,168,1,Car,10,0.298,28,Other,775,800,600,550,999,1000,23,Same length,75,80,Ring finger,September,Summer,No,No,Pizza/Pasta,Soft drink (non-caffeinated),Music,6.5,7,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,0,2,0,10,13,5,4,6,0,8,7,0,5,A lot,Undergraduate degree,Other,Invisibility,Rich,Other,Other,high
USA,OR,2016,12,Female,17,Left-Handed,152.4,23,,1,Car,23,0.584,55,Other,797,797,786,909,53,487,24,Left foot,7,7,Same length,October,Summer,Yes,No,Pizza/Pasta,Water,Science,8,7,4,Yes - broadband connection,Text messaging,200,200,25,3,0,15,20,0,10,10,10,5,5,5,A lot,Graduate degree,Techno/Electronic,Invisibility,Rich,Relative,"Wildlife, animals",high
